date,location,hits
2012-03-17,Tennessee,16
2012-03-17,Maryland,15
2012-03-17,Idaho,13
2012-03-17,Utah,12
2012-03-17,Texas,11
2012-03-17,Louisiana,11
2012-03-17,Florida,10
2012-03-17,Arizona,9
2012-03-17,Alabama,5
2012-03-17,Alaska,NA
2012-03-17,Hawaii,NA
2012-03-17,Mississippi,NA
2012-03-17,North Dakota,NA
2012-03-17,Oklahoma,NA
2012-03-17,West Virginia,NA
2012-03-17,Wyoming,NA
2012-03-18,Alaska,NA
2012-03-18,Alabama,NA
2012-03-18,Arkansas,NA
2012-03-18,Arizona,NA
2012-03-18,California,NA
2012-03-18,Colorado,NA
2012-03-18,Connecticut,NA
2012-03-18,District of Columbia,NA
2012-03-18,Delaware,NA
2012-03-18,Florida,NA
2012-03-18,Georgia,NA
2012-03-18,Hawaii,NA
2012-03-18,Iowa,NA
2012-03-18,Idaho,NA
2012-03-18,Illinois,NA
2012-03-18,Indiana,NA
2012-03-18,Kansas,NA
2012-03-18,Kentucky,NA
2012-03-18,Louisiana,NA
2012-03-18,Massachusetts,NA
2012-03-18,Maryland,NA
2012-03-18,Maine,NA
2012-03-18,Michigan,NA
2012-03-18,Minnesota,NA
2012-03-18,Missouri,NA
2012-03-18,Mississippi,NA
2012-03-18,Montana,NA
2012-03-18,North Carolina,NA
2012-03-18,North Dakota,NA
2012-03-18,Nebraska,NA
2012-03-18,New Hampshire,NA
2012-03-18,New Jersey,NA
2012-03-18,New Mexico,NA
2012-03-18,Nevada,NA
2012-03-18,New York,NA
2012-03-18,Ohio,NA
2012-03-18,Oklahoma,NA
2012-03-18,Oregon,NA
2012-03-18,Pennsylvania,NA
2012-03-18,Rhode Island,NA
2012-03-18,South Carolina,NA
2012-03-18,South Dakota,NA
2012-03-18,Tennessee,NA
2012-03-18,Texas,NA
2012-03-18,Utah,NA
2012-03-18,Virginia,NA
2012-03-18,Vermont,NA
2012-03-18,Washington,NA
2012-03-18,Wisconsin,NA
2012-03-18,West Virginia,NA
2012-03-18,Wyoming,NA
